order_id,order_date,order_time,customer_name,phone_number,country,product_id,product_name,quantity,unit_price,payment_mode,payment_status,amount_paid,transaction_id
ORD2026C0001,01-06-2026,09:17:00,Diya Sharma,+1 7401401612,US,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0001
ORD2026C0002,01-06-2026,09:42:00,Aarav Gupta,+91 7091654977,IN,P003,"4K Ultra HD Monitor 27""",3,329.99,NETBANKING,COMPLETED,989.97,TXN2026C0002
ORD2026C0003,01-06-2026,09:59:00,Meera Sharma,+91 9832611032,IN,P003,"4K Ultra HD Monitor 27""",3,329.99,UPI,COMPLETED,989.97,TXN2026C0003
ORD2026C0004,01-06-2026,10:20:00,Aarav Das,+1 7568815313,US,P002,Ergonomic Wireless Mouse,2,49.99,PAYPAL,COMPLETED,99.98,TXN2026C0004
ORD2026C0005,01-06-2026,10:52:00,Arjun Patel,+65 98320084,SG,P003,"4K Ultra HD Monitor 27""",1,329.99,CARD,COMPLETED,329.99,TXN2026C0005
ORD2026C0006,01-06-2026,11:08:00,Reyansh Verma,+65 94783934,SG,P002,Ergonomic Wireless Mouse,3,49.99,CARD,COMPLETED,149.97,TXN2026C0006
ORD2026C0007,01-06-2026,11:40:00,Diya Verma,+1 7921423103,US,P003,"4K Ultra HD Monitor 27""",2,329.99,CARD,COMPLETED,659.98,TXN2026C0007
ORD2026C0008,01-06-2026,12:18:00,Meera Mehta,+65 88446737,SG,P003,"4K Ultra HD Monitor 27""",1,329.99,NETBANKING,COMPLETED,329.99,TXN2026C0008
ORD2026C0009,01-06-2026,12:58:00,Sai Joshi,+91 8876670030,IN,P002,Ergonomic Wireless Mouse,2,49.99,PAYPAL,COMPLETED,99.98,TXN2026C0009
ORD2026C0010,01-06-2026,13:19:00,Meera Sharma,+91 8521759865,IN,P001,Wireless Mechanical Keyboard,2,89.99,CARD,COMPLETED,179.98,TXN2026C0010
ORD2026C0011,01-06-2026,13:49:00,Diya Verma,+91 9207160041,IN,P002,Ergonomic Wireless Mouse,3,49.99,CARD,COMPLETED,149.97,TXN2026C0011
ORD2026C0012,01-06-2026,14:34:00,Reyansh Das,+65 99083064,SG,P002,Ergonomic Wireless Mouse,2,49.99,CARD,COMPLETED,99.98,TXN2026C0012
ORD2026C0014,01-06-2026,15:26:00,Diya Verma,+65 84060292,SG,P002,Ergonomic Wireless Mouse,1,49.99,CARD,COMPLETED,49.99,TXN2026C0014
ORD2026C0015,01-06-2026,15:46:00,Diya Kumar,+65 95808878,SG,P003,"4K Ultra HD Monitor 27""",1,329.99,NETBANKING,COMPLETED,329.99,TXN2026C0015
ORD2026C0016,01-06-2026,16:27:00,Vihaan Verma,+91 7582080776,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,UPI,COMPLETED,659.98,TXN2026C0016
ORD2026C0017,01-06-2026,17:06:00,Meera Reddy,+65 83677911,SG,P002,Ergonomic Wireless Mouse,3,49.99,CARD,COMPLETED,149.97,TXN2026C0017
