order_id,customer_name,order_time,phone_number,country,product_id,product_name,quantity,unit_price,payment_mode,payment_status,amount_paid,transaction_id,order_date
ORD2026C0001,Sai Kumar,09:16:00,+91 9431806338,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,NETBANKING,COMPLETED,659.98,TXN2026C0001,2026-06-01
ORD2026C0002,Diya Joshi,09:36:00,+1 7379190557,US,P002,Ergonomic Wireless Mouse,3,49.99,CARD,COMPLETED,149.97,TXN2026C0002,2026-06-01
ORD2026C0003,Vihaan Gupta,10:10:00,+91 9116923756,IN,P002,Ergonomic Wireless Mouse,1,49.99,NETBANKING,COMPLETED,49.99,TXN2026C0003,2026-06-01
ORD2026C0004,Arjun Kumar,10:33:00,+91 8450957341,IN,P001,Wireless Mechanical Keyboard,1,89.99,UPI,COMPLETED,89.99,TXN2026C0004,2026-06-01
ORD2026C0005,Reyansh Verma,11:06:00,+1 8067717126,US,P003,"4K Ultra HD Monitor 27""",3,329.99,PAYPAL,COMPLETED,989.97,TXN2026C0005,2026-06-01
ORD2026C0006,Sai Sharma,11:37:00,+65 89238098,SG,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0006,2026-06-01
ORD2026C0007,Ananya Verma,12:17:00,+1 9118703004,US,P001,Wireless Mechanical Keyboard,2,89.99,CARD,COMPLETED,179.98,TXN2026C0007,2026-06-01
ORD2026C0008,Vihaan Singh,13:00:00,+65 83140956,SG,P001,Wireless Mechanical Keyboard,2,89.99,CARD,COMPLETED,179.98,TXN2026C0008,2026-06-01
ORD2026C0009,Rohan Kumar,13:25:00,+91 9688053563,IN,P001,Wireless Mechanical Keyboard,3,89.99,NETBANKING,COMPLETED,269.97,TXN2026C0009,2026-06-01
ORD2026C0010,Vihaan Mehta,13:40:00,+91 7725348331,IN,P002,Ergonomic Wireless Mouse,1,49.99,CARD,COMPLETED,49.99,TXN2026C0010,2026-06-01
ORD2026C0011,Meera Sharma,14:14:00,+65 97960133,SG,P003,"4K Ultra HD Monitor 27""",1,329.99,CARD,COMPLETED,329.99,TXN2026C0011,2026-06-01
ORD2026C0012,Sai Das,14:37:00,+1 7784683909,US,P003,"4K Ultra HD Monitor 27""",2,329.99,CARD,COMPLETED,659.98,TXN2026C0012,2026-06-01
ORD2026C0013,Meera Singh,15:07:00,+1 7792571311,US,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0013,2026-06-01
ORD2026C0006,Isha Gupta,15:24:00,+91 7908584859,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,PAYPAL,COMPLETED,659.98,TXN2026C0014,2026-06-01
ORD2026C0014,Diya Mehta,15:55:00,+91 9060922303,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,NETBANKING,COMPLETED,659.98,TXN2026C0015,2026-06-01
ORD2026C0015,Meera Patel,16:10:00,+65 94526885,SG,P001,Wireless Mechanical Keyboard,1,89.99,NETBANKING,COMPLETED,89.99,TXN2026C0016,2026-06-01
ORD2026C0016,Meera Singh,16:54:00,+65 98102403,SG,P003,"4K Ultra HD Monitor 27""",2,329.99,CARD,COMPLETED,659.98,TXN2026C0017,2026-06-01
ORD2026C0017,Aarav Singh,17:17:00,+65 89052853,SG,P003,"4K Ultra HD Monitor 27""",2,329.99,CARD,COMPLETED,659.98,TXN2026C0018,2026-06-01
ORD2026C0018,Isha Patel,17:43:00,+91 9516445343,IN,P002,Ergonomic Wireless Mouse,1,49.99,PAYPAL,COMPLETED,49.99,TXN2026C0019,2026-06-01
ORD2026C0019,Reyansh Das,18:19:00,+91 9369772248,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,PAYPAL,COMPLETED,659.98,TXN2026C0020,2026-06-01
ORD2026C0020,Meera Sharma,18:46:00,+91 7088604838,IN,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0021,2026-06-01
ORD2026C0021,Reyansh Patel,19:27:00,+1 7112424901,US,P002,Ergonomic Wireless Mouse,2,49.99,CARD,COMPLETED,99.98,TXN2026C0022,2026-06-01
