order_id,order_date,customer_name,phone_number,country,product_id,product_name,quantity,unit_price,payment_mode,payment_status,amount_paid,transaction_id
ORD2026C0001,01-06-2026,Sai Kumar,+91 9431806338,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,NETBANKING,COMPLETED,659.98,TXN2026C0001
ORD2026C0002,01-06-2026,Diya Joshi,+1 7379190557,US,P002,Ergonomic Wireless Mouse,3,49.99,CARD,COMPLETED,149.97,TXN2026C0002
ORD2026C0003,01-06-2026,Vihaan Gupta,+91 9116923756,IN,P002,Ergonomic Wireless Mouse,1,49.99,NETBANKING,COMPLETED,49.99,TXN2026C0003
ORD2026C0004,01-06-2026,Arjun Kumar,+91 8450957341,IN,P001,Wireless Mechanical Keyboard,1,89.99,UPI,COMPLETED,89.99,TXN2026C0004
ORD2026C0005,01-06-2026,Reyansh Verma,+1 8067717126,US,P003,"4K Ultra HD Monitor 27""",3,329.99,PAYPAL,COMPLETED,989.97,TXN2026C0005
ORD2026C0006,01-06-2026,Sai Sharma,+65 89238098,SG,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0006
ORD2026C0007,01-06-2026,Ananya Verma,+1 9118703004,US,P001,Wireless Mechanical Keyboard,2,89.99,CARD,COMPLETED,179.98,TXN2026C0007
ORD2026C0008,01-06-2026,Vihaan Singh,+65 83140956,SG,P001,Wireless Mechanical Keyboard,2,89.99,CARD,COMPLETED,179.98,TXN2026C0008
ORD2026C0009,01-06-2026,Rohan Kumar,+91 9688053563,IN,P001,Wireless Mechanical Keyboard,3,89.99,NETBANKING,COMPLETED,269.97,TXN2026C0009
ORD2026C0010,01-06-2026,Vihaan Mehta,+91 7725348331,IN,P002,Ergonomic Wireless Mouse,1,49.99,CARD,COMPLETED,49.99,TXN2026C0010
ORD2026C0011,01-06-2026,Meera Sharma,+65 97960133,SG,P003,"4K Ultra HD Monitor 27""",1,329.99,CARD,COMPLETED,329.99,TXN2026C0011
ORD2026C0012,01-06-2026,Sai Das,+1 7784683909,US,P003,"4K Ultra HD Monitor 27""",2,329.99,CARD,COMPLETED,659.98,TXN2026C0012
ORD2026C0013,01-06-2026,Meera Singh,+1 7792571311,US,P003,"4K Ultra HD Monitor 27""",3,329.99,CARD,COMPLETED,989.97,TXN2026C0013
ORD2026C0006,01-06-2026,Isha Gupta,+91 7908584859,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,PAYPAL,COMPLETED,659.98,TXN2026C0014
ORD2026C0014,01-06-2026,Diya Mehta,+91 9060922303,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,NETBANKING,COMPLETED,659.98,TXN2026C0015
ORD2026C0015,01-06-2026,Meera Patel,+65 94526885,SG,P001,Wireless Mechanical Keyboard,1,89.99,NETBANKING,COMPLETED,89.99,TXN2026C0016
ORD2026C0016,01-06-2026,Meera Singh,+65 98102403,SG,P003,"4K Ultra HD Monitor 27""",2,329.99,CARD,COMPLETED,659.98,TXN2026C0017
ORD2026C0017,01-06-2026,Aarav Singh,+65 89052853,SG,P003,"4K Ultra HD Monitor 27""",2,329.99,CARD,COMPLETED,659.98,TXN2026C0018
ORD2026C0018,01-06-2026,Isha Patel,+91 9516445343,IN,P002,Ergonomic Wireless Mouse,1,49.99,PAYPAL,COMPLETED,49.99,TXN2026C0019
ORD2026C0019,01-06-2026,Reyansh Das,+91 9369772248,IN,P003,"4K Ultra HD Monitor 27""",2,329.99,PAYPAL,COMPLETED,659.98,TXN2026C0020
